day_number;evaporation
1;6.82865908537712
2;6.83201499830967
3;6.95572951076646
4;7.07976946804747
5;7.10722148828878
6;7.19641717265417
7;7.27137942809254
8;6.97992731000654
9;6.84305439044485
10;7.10573598769865
11;7.66204278487264
12;8.22869594151842
13;8.43627636557441
14;8.41528894854105
15;8.10717772184147
16;8.12704451007
17;8.3906874885183
18;8.37096715605394
19;7.98549557273138
20;7.71957976172627
21;7.69234648867544
22;7.95110389437058
23;8.18646380938866
24;8.19328789818849
25;8.57967330835636
26;8.92905723098101
27;9.46396591024004
28;9.63993272128828
29;9.94310493600869
30;10.4669223791666
31;10.5178333849074
32;10.4735260086987
33;10.2116167567866
34;10.3871864111891
35;10.7720707996912
36;10.741139534304
37;10.6362873475601
38;10.5667681467
39;11.1385033787844
40;11.8346421599765
41;12.1541274489245
42;12.0417792023542
43;12.4003591072019
44;13.1574876413105
45;13.2534772705575
46;13.7143928248219
47;13.3971463969203
48;13.8231948228852
49;13.6495535034261
50;14.0235983696571
51;14.4174549737625
52;14.4620171597946
53;14.9851060275924
54;15.2694506526086
55;14.9253116209436
56;14.5481578807903
57;14.4671411070631
58;14.785639840508
59;14.957883062194
60;14.9282170270392
61;15.1725952166612
62;15.2375213615558
63;16.2958278209099
64;17.191166058507
65;18.2355610974658
66;18.580405622629
67;18.474081996488
68;19.2327604333644
69;19.119953442296
70;19.7656852555521
71;18.9598599660633
72;19.1051874660848
73;18.6429066291693
74;18.9053122236313
75;19.2064804729087
76;19.6589217332254
77;19.5987873338411
78;19.8210312251566
79;20.2641783663334
80;20.6629400334993
81;21.2114483748243
82;21.5372547503073
83;22.0921945460146
84;21.7214646234762
85;22.0295076717225
86;22.4737106808251
87;24.0767508867141
88;25.0316162896174
89;25.3184451819159
90;24.3647293017121
91;24.288173781265
92;25.0194655968862
93;25.549455060072
94;25.0601082625852
95;24.5442313844182
96;24.9469230788195
97;26.7306801888582
98;28.9469920388083
99;30.1885740997179
100;29.349803303912
101;29.1722883316466
102;30.2152577309893
103;31.5753516799666
104;31.9421404465725
105;31.443008694739
106;31.3416642388331
107;30.5499338292784
108;30.9627026118664
109;31.9617551064892
110;32.6971184148381
111;33.5530260662777
112;34.0977594825993
113;34.8938188885794
114;34.3977264549232
115;33.7287508077575
116;32.9899332278538
117;32.8409240327484
118;34.3539522815697
119;33.9555382815697
120;34.1243756737326
121;33.9415826315552
122;34.7522644465493
123;35.5870000488458
124;35.6082537170086
125;35.4255073854563
126;34.7076537027938
127;34.8365136309172
128;36.2200563094075
129;36.1272970833349
130;36.6319503876671
131;36.4922648769344
132;37.7329368838862
133;38.6710373715295
134;39.8384217344772
135;41.0565964390057
136;40.9129990068732
137;39.6182826461765
138;39.9526207090228
139;39.3980870848186
140;38.9971071488327
141;38.3353977645044
142;38.0820359102249
143;37.9628552577175
144;36.7592261538617
145;37.9752223095244
146;37.1398816741099
147;37.4983076980405
148;37.8929571948142
149;40.7614923617443
150;42.6120162060816
151;42.6308704787194
152;40.9249136715461
153;38.5546105272077
154;37.8830296841955
155;37.9690147765421
156;38.4708969053115
157;37.1138285035051
158;37.1340741196467
159;37.7480949051405
160;38.5178321403017
161;38.3184251401738
162;39.7729749861349
163;41.5983879603955
164;42.2052337826541
165;41.2429815075094
166;39.5501326148411
167;41.0099066389997
168;41.277768938246
169;40.84412030964
170;39.6474510816292
171;39.2840068397304
172;39.5684515092459
173;39.9558075253419
174;39.4401183547078
175;39.0805954223257
176;37.6822000828958
177;37.0726087827235
178;37.0368542541707
179;37.6430873885668
180;38.4700970729396
181;38.7581680366308
182;38.2337534229821
183;37.9869873652356
184;39.0322408763966
185;40.0961699063529
186;40.6945160174594
187;41.2546983363346
188;41.5554375869647
189;40.7109947581396
190;40.3453276262502
191;40.2003649752235
192;41.7422528904404
193;40.9207840357187
194;39.4245580393363
195;37.535225144246
196;36.5582103345367
197;36.0761776864727
198;34.9904408596983
199;35.9812641812081
200;36.3269706295645
201;37.2232492252082
202;37.0635999096518
203;37.1068969042531
204;36.5743841281609
205;35.8139410299457
206;35.490052414217
207;34.4189473445761
208;34.1027165894517
209;34.31489495653
210;35.2701979871982
211;34.9863911737002
212;34.3682590446458
213;35.2892401142867
214;36.1624414760233
215;37.1743868134873
216;36.5910383244481
217;37.1625737353278
218;36.2944142432548
219;35.576786325559
220;34.2716141632864
221;34.1501307632319
222;33.6437322306332
223;32.525243807232
224;32.1517996744737
225;33.2448461604069
226;34.4418942284947
227;34.6146204823866
228;33.7149233655394
229;33.2789461214327
230;32.8278895498613
231;32.5087674513749
232;31.6390004881105
233;30.7668359906666
234;30.1065016161804
235;30.1897178544602
236;29.9123121106878
237;29.1113068928474
238;28.2138336242401
239;27.8294504248037
240;27.4072563715007
241;27.0292995361228
242;26.6062449463755
243;26.2589131281906
244;25.7035617250022
245;25.8711693913977
246;25.8216321064664
247;26.1976741488857
248;25.8356974348417
249;25.6336638683269
250;25.0254019198057
251;24.3710995831244
252;23.4818053947274
253;22.7619931869294
254;22.3147624219474
255;22.026771817443
256;22.1555553597698
257;21.6153216557683
258;21.0853119218535
259;20.5700996545711
260;20.3764678486936
261;21.0315207512472
262;21.223804701135
263;21.9090078720819
264;21.4259642894711
265;21.3376540821293
266;20.7396843422318
267;19.8333378382645
268;19.3132460264043
269;18.0662486681712
270;18.7810748859392
271;18.700336818819
272;18.1789677525107
273;17.6827167581652
274;17.6742639378295
275;18.2924784405427
276;18.3805233792202
277;17.5497499552921
278;16.9503363607161
279;15.5619815105811
280;15.2906382483555
281;14.6391395776999
282;15.0439983827932
283;14.8680170247882
284;15.7463378944658
285;15.4454208571879
286;15.7056602738792
287;14.5724816608284
288;14.007824157901
289;13.7018034878154
290;14.28490435755
291;14.4167207986989
292;13.5404517356384
293;13.0789108945629
294;12.9681786738029
295;13.2897824605924
296;13.8672980704093
297;13.1410746779043
298;12.675031664557
299;11.8251528370708
300;11.6102241444505
301;11.6275933063949
302;11.5361360186717
303;11.4586848972948
304;11.0160864531538
305;10.7816663926433
306;10.6290091456308
307;10.6006163150677
308;10.6201043999356
309;10.4261306526026
310;9.91554181164115
311;9.44169271749962
312;9.34384117990125
313;8.88518963033759
314;8.762952503206
315;8.71702309896377
316;9.01206422663617
317;8.98960233269986
318;8.58905114434592
319;8.40174753808965
320;8.2162039093557
321;8.32121318095362
322;8.10205292284478
323;8.15543853439962
324;8.02488605923462
325;8.13904705528882
326;7.85246609635537
327;7.76525363170275
328;7.60498473416268
329;7.33353837736869
330;6.99132821090848
331;7.01894468561744
332;7.51700799037644
333;7.6601825939688
334;7.83289177286423
335;7.45750215626659
336;7.48600235845165
337;7.12858424298644
338;7.28121302030354
339;7.18167900212759
340;7.4122836131555
341;7.1263436924398
342;7.00426901659965
343;6.82742530410866
344;6.79122044548429
345;6.4995953786352
346;6.47497249155051
347;6.60104434158533
348;6.70701299913552
349;6.74003096306862
350;6.60003266487621
351;6.54937824087722
352;6.36569147982712
353;6.32082513377354
354;6.4629073734784
355;6.43780033229783
356;6.45969645967132
357;6.35272861556214
358;6.5102568992121
359;6.3948362096631
360;6.48396033089941
361;6.70925261753365
362;6.77650640405499
363;6.87905770092191
364;6.95446894901077
365;7.18257605730517
